Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
28,Female,Master's Degree,Data Analyst,3,65000,USA,Hispanic,0
36,Female,Bachelor's Degree,Sales Associate,7,60000,USA,Hispanic,0
52,Male,Master's Degree,Director,20,200000,USA,Asian,0
29,Male,Bachelor's Degree,Marketing Analyst,2,55000,USA,Hispanic,0
42,Female,Master's Degree,Product Manager,12,120000,USA,Asian,0
40,Female,Master's Degree,Project Manager,14,130000,USA,African American,0
33,Female,Master's Degree,Marketing Manager,7,90000,USA,Asian,0
41,Male,Master's Degree,Financial Manager,13,140000,USA,African American,0
29,Male,Master's Degree,Data Scientist,3,75000,USA,Hispanic,0
46,Male,PhD,Manager,20,170000,USA,Hispanic,1
28,Female,Bachelor's Degree,Copywriter,2,40000,USA,White,0
25,Male,Bachelor's Degree,Help Desk Analyst,0,35000,USA,Asian,0
43,Male,PhD,Engineer,17,140000,USA,Hispanic,1
51,Female,Master's Degree,Director of Operations,23,170000,USA,African American,0
33,Male,Bachelor's Degree,Web Developer,6,65000,USA,Hispanic,0
39,Female,Bachelor's Degree,Recruiter,11,70000,USA,Asian,0
37,Male,Bachelor's Degree,Project Manager,10,95000,USA,Asian,0
50,Female,Bachelor's Degree,Operations Manager,22,160000,USA,White,0
32,Male,Master's Degree,Software Engineer,6,100000,USA,African American,1
41,Female,Master's Degree,Data Analyst,13,80000,USA,White,0
40,Female,Bachelor's Degree,HR Generalist,15,80000,USA,Hispanic,0
39,Female,Bachelor's Degree,Training Specialist,12,65000,USA,African American,0
44,Male,PhD,Chief Data Officer,16,220000,USA,African American,0
36,Male,Bachelor's Degree,IT Support Specialist,7,60000,USA,Asian,0
41,Female,Master's Degree,Marketing Analyst,14,100000,USA,White,1
28,Male,Bachelor's Degree,Customer Success Manager,2,40000,USA,Hispanic,0
42,Female,Master's Degree,Graphic Designer,15,110000,USA,Asian,1
32,Male,Master's Degree,Business Analyst,6,90000,USA,Asian,1
23,Female,Bachelor's Degree,Marketing Analyst,0,35000,USA,White,0
40,Female,Bachelor's Degree,Office Manager,15,65000,USA,White,0
48,Male,PhD,Principal Engineer,20,170000,USA,Hispanic,0
37,Female,Master's Degree,HR Generalist,9,95000,USA,African American,1
32,Female,Bachelor's Degree,Marketing Coordinator,4,50000,USA,White,0
47,Male,PhD,Research Scientist,22,160000,USA,Hispanic,1
28,Male,Bachelor's Degree,Business Analyst,2,40000,USA,White,0
33,Male,Bachelor's Degree,Software Developer,5,50000,USA,Hispanic,0
38,Female,Bachelor's Degree,Accountant,10,80000,USA,African American,1
26,Male,Bachelor's Degree,Customer Support Specialist,2,35000,USA,Asian,0
44,Male,Bachelor's Degree,IT Support Specialist,14,110000,USA,African American,1
32,Female,Bachelor's Degree,Financial Analyst,5,50000,USA,Asian,0
39,Female,Bachelor's Degree,Sales Representative,12,90000,USA,Asian,1
48,Male,Master's Degree,Director of Product Management,21,175000,USA,Asian,0
46,Male,Master's Degree,Director of Operations,20,170000,USA,Asian,0
44,Female,PhD,UX Designer,15,145000,USA,Hispanic,1
27,Male,Bachelor's Degree,Product Manager,2,40000,USA,Hispanic,0
36,Female,Bachelor's Degree,Marketing Specialist,8,85000,USA,African American,1
39,Female,Bachelor's Degree,Account Executive,12,95000,USA,African American,1
28,Male,Bachelor's Degree,Business Analyst,2,40000,USA,African American,0
44,Male,Bachelor's Degree,Sales Manager,16,130000,USA,Asian,1
27,Female,Master's Degree,UX Designer,1,45000,USA,Hispanic,0
28,Male,Bachelor's Degree,Business Development Associate,2,40000,USA,Asian,0
35,Female,Bachelor's Degree,Marketing Analyst,8,85000,USA,White,1
